Station Name,Measurement Timestamp,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,Measurement Timestamp Label,Measurement ID
Oak Street Weather Station,05/22/2015 03:00:00 PM,,7.0,55,0,0,1.4,0,63,1.9,2.8,,780,322,12,05/22/2015 3:00 PM,OakStreetWeatherStation201505221500
Oak Street Weather Station,05/22/2015 05:00:00 PM,,6.3,56,0,0,1.4,0,124,1.5,2.3,,180,322,12.1,05/22/2015 5:00 PM,OakStreetWeatherStation201505221700
Oak Street Weather Station,05/22/2015 06:00:00 PM,,6.5,54,0,0,1.4,0,156,1.9,3.4,,127,322,12.1,05/22/2015 6:00 PM,OakStreetWeatherStation201505221800
Oak Street Weather Station,05/22/2015 07:00:00 PM,,6.3,53,0,0,1.4,0,150,1.4,4.5,,67,322,12.1,05/22/2015 7:00 PM,OakStreetWeatherStation201505221900
Oak Street Weather Station,05/22/2015 08:00:00 PM,,6.4,52,0,0,1.4,0,155,1.1,2.3,,10,322,12,05/22/2015 8:00 PM,OakStreetWeatherStation201505222000
Oak Street Weather Station,05/22/2015 09:00:00 PM,,7.4,58,0,0,1.4,0,175,1.3,2.5,,2,322,12,05/22/2015 9:00 PM,OakStreetWeatherStation201505222100
Oak Street Weather Station,05/22/2015 10:00:00 PM,,7.5,58,0,0,1.4,0,164,1.7,3.5,,3,322,12,05/22/2015 10:00 PM,OakStreetWeatherStation201505222200
Oak Street Weather Station,05/22/2015 11:00:00 PM,,7.1,45,0,0,1.4,0,155,0.7,2.3,,2,322,12.1,05/22/2015 11:00 PM,OakStreetWeatherStation201505222300
Oak Street Weather Station,05/23/2015 08:00:00 AM,,9.0,32,0,0,1.4,0,159,2,3.5,,434,322,12.1,05/23/2015 8:00 AM,OakStreetWeatherStation201505230800
Oak Street Weather Station,05/23/2015 10:00:00 AM,,10.9,42,0,0,1.4,0,155,2.3,3.9,,799,322,12.1,05/23/2015 10:00 AM,OakStreetWeatherStation201505231000
Oak Street Weather Station,05/23/2015 11:00:00 AM,,11.6,62,0,0,1.4,0,85,2,2.8,,850,322,12.1,05/23/2015 11:00 AM,OakStreetWeatherStation201505231100
Oak Street Weather Station,05/23/2015 12:00:00 PM,,11.2,55,0,0,1.4,0,109,2.5,3.8,,900,322,12.1,05/23/2015 12:00 PM,OakStreetWeatherStation201505231200
Oak Street Weather Station,05/23/2015 01:00:00 PM,,11.7,50,0,0,1.4,0,137,2.2,3.3,,887,322,12,05/23/2015 1:00 PM,OakStreetWeatherStation201505231300
Oak Street Weather Station,05/23/2015 04:00:00 PM,,12.5,45,0,0,1.4,0,136,2,3.5,,563,322,12.1,05/23/2015 4:00 PM,OakStreetWeatherStation201505231600
Oak Street Weather Station,05/23/2015 05:00:00 PM,,12.4,43,0,0,1.4,0,147,2,3,,53,322,12.1,05/23/2015 5:00 PM,OakStreetWeatherStation201505231700
Oak Street Weather Station,05/23/2015 06:00:00 PM,,12.4,40,0,0,1.4,0,150,1.1,3,,44,322,12.1,05/23/2015 6:00 PM,OakStreetWeatherStation201505231800
Oak Street Weather Station,05/23/2015 08:00:00 PM,,11.8,41,0,0,1.4,0,142,1.3,3.1,,6,322,12.1,05/23/2015 8:00 PM,OakStreetWeatherStation201505232000
Oak Street Weather Station,05/23/2015 09:00:00 PM,,12.1,38,0,0,1.4,0,134,1.5,2.5,,0,322,12.1,05/23/2015 9:00 PM,OakStreetWeatherStation201505232100
Oak Street Weather Station,05/23/2015 10:00:00 PM,,12.8,44,0,0,1.4,0,169,1.5,2.2,,0,322,12.1,05/23/2015 10:00 PM,OakStreetWeatherStation201505232200
Oak Street Weather Station,05/23/2015 11:00:00 PM,,13.3,41,0,0,1.4,0,118,0.8,1.2,,0,322,12.1,05/23/2015 11:00 PM,OakStreetWeatherStation201505232300
Oak Street Weather Station,05/24/2015 12:00:00 AM,,13.4,33,0,0,1.4,0,7,1,1.4,,0,322,12.1,05/24/2015 12:00 AM,OakStreetWeatherStation201505242400
Oak Street Weather Station,05/24/2015 02:00:00 AM,,13.5,39,0,0,1.4,0,49,0.4,1.2,,0,322,12,05/24/2015 2:00 AM,OakStreetWeatherStation201505240200
Oak Street Weather Station,05/24/2015 03:00:00 AM,,13.5,39,0,0,1.4,0,0,0,0.8,,0,322,12,05/24/2015 3:00 AM,OakStreetWeatherStation201505240300
Oak Street Weather Station,05/24/2015 04:00:00 AM,,13.4,40,0,0,1.4,0,145,0.5,0.7,,0,322,12.1,05/24/2015 4:00 AM,OakStreetWeatherStation201505240400
Oak Street Weather Station,05/24/2015 05:00:00 AM,,13.3,53,0,0,1.4,0,28,0.9,1.3,,0,322,12.1,05/24/2015 5:00 AM,OakStreetWeatherStation201505240500
Oak Street Weather Station,05/24/2015 06:00:00 AM,,12.8,64,0,0,1.4,0,350,0.5,1,,16,322,12.1,05/24/2015 6:00 AM,OakStreetWeatherStation201505240600
Oak Street Weather Station,05/24/2015 07:00:00 AM,,13.7,55,0,0.1,1.5,60,193,0.4,0.8,,43,322,12.1,05/24/2015 7:00 AM,OakStreetWeatherStation201505240700
Oak Street Weather Station,05/24/2015 08:00:00 AM,,14.0,68,0,1,2.5,0,119,0.7,1.1,,59,322,12.1,05/24/2015 8:00 AM,OakStreetWeatherStation201505240800
Oak Street Weather Station,05/24/2015 09:00:00 AM,,14.0,76,0,0.1,2.5,0,345,0.6,1.3,,120,322,12,05/24/2015 9:00 AM,OakStreetWeatherStation201505240900
Oak Street Weather Station,05/24/2015 10:00:00 AM,,13.7,56,0,0.1,2.6,0,142,2.5,3.8,,251,322,12,05/24/2015 10:00 AM,OakStreetWeatherStation201505241000
Oak Street Weather Station,05/24/2015 11:00:00 AM,,13.5,59,0,0,2.6,0,147,2.1,3.1,,439,322,12.1,05/24/2015 11:00 AM,OakStreetWeatherStation201505241100
Oak Street Weather Station,05/24/2015 12:00:00 PM,,13.4,63,0,0,2.6,0,145,2.3,3.5,,358,322,12.1,05/24/2015 12:00 PM,OakStreetWeatherStation201505241200
Oak Street Weather Station,05/24/2015 01:00:00 PM,,13.6,65,0,0,2.6,0,159,1.7,3.1,,226,322,12.1,05/24/2015 1:00 PM,OakStreetWeatherStation201505241300
Oak Street Weather Station,05/24/2015 03:00:00 PM,,12.6,70,0,0,2.6,0,137,1.1,3,,266,322,12.1,05/24/2015 3:00 PM,OakStreetWeatherStation201505241500
Oak Street Weather Station,05/24/2015 04:00:00 PM,,14.3,73,1.2,0.4,3,60,147,1,3.8,,40,322,12,05/24/2015 4:00 PM,OakStreetWeatherStation201505241600
Oak Street Weather Station,05/24/2015 05:00:00 PM,,13.4,82,7.2,5.8,8.9,60,47,1,1.4,,47,322,12.1,05/24/2015 5:00 PM,OakStreetWeatherStation201505241700
Oak Street Weather Station,05/24/2015 06:00:00 PM,,13.1,88,0,1.7,10.6,0,67,0.8,1.1,,38,322,12,05/24/2015 6:00 PM,OakStreetWeatherStation201505241800
Oak Street Weather Station,05/24/2015 07:00:00 PM,,14.2,86,0,0.1,10.7,0,105,0.5,1,,17,322,12,05/24/2015 7:00 PM,OakStreetWeatherStation201505241900
Oak Street Weather Station,05/24/2015 08:00:00 PM,,16.4,87,0,0.3,11.1,0,164,2.1,3.4,,4,322,12.1,05/24/2015 8:00 PM,OakStreetWeatherStation201505242000
Oak Street Weather Station,05/24/2015 09:00:00 PM,,15.7,82,0,0,11.1,0,148,2.4,4.3,,1,322,12.1,05/24/2015 9:00 PM,OakStreetWeatherStation201505242100
Oak Street Weather Station,05/24/2015 10:00:00 PM,,15.3,84,0,0,11.1,0,0,1,1.9,,2,322,12.2,05/24/2015 10:00 PM,OakStreetWeatherStation201505242200
