Date,TopId,BottomId,CrossName,DayTemp,MaxOutfitTemp,MinOutfitTemp,Chosen
05/22/15,40,45,TShirt X Jeans,44.6,77.5,40,0
05/22/15,40,46,TShirt X Pants,44.6,77.5,40,0
05/22/15,40,47,TShirt X Chino,44.6,77.5,40,0
05/22/15,40,48,TShirt X Sweatpants,44.6,77.5,47.5,0
05/22/15,40,49,TShirt X Shorts,44.6,90,65,0
05/22/15,41,45,Longsleeve X Jeans,44.6,70,30,1
05/22/15,41,46,Longsleeve X Pants,44.6,70,30,1
05/22/15,41,47,Longsleeve X Chino,44.6,70,30,1
05/22/15,41,48,Longsleeve X Sweatpants,44.6,70,37.5,1
05/22/15,41,49,Longsleeve X Shorts,44.6,82.5,55,0
05/22/15,42,45,Coat X Jeans,44.6,60,10,1
05/22/15,42,46,Coat X Pants,44.6,60,10,1
05/22/15,42,47,Coat X Chino,44.6,60,10,1
05/22/15,42,48,Coat X Sweatpants,44.6,60,17.5,1
05/22/15,42,49,Coat X Shorts,44.6,72.5,35,1
05/22/15,43,45,Hoodie X Jeans,44.6,70,30,1
05/22/15,43,46,Hoodie X Pants,44.6,70,30,1
05/22/15,43,47,Hoodie X Chino,44.6,70,30,1
05/22/15,43,48,Hoodie X Sweatpants,44.6,70,37.5,1
05/22/15,43,49,Hoodie X Shorts,44.6,82.5,55,0
05/22/15,44,45,Sweater X Jeans,44.6,65,27.5,1
05/22/15,44,46,Sweater X Pants,44.6,65,27.5,1
05/22/15,44,47,Sweater X Chino,44.6,65,27.5,1
05/22/15,44,48,Sweater X Sweatpants,44.6,65,35,1
05/22/15,44,49,Sweater X Shorts,44.6,77.5,52.5,0
05/23/15,40,45,TShirt X Jeans,48.2,77.5,40,0
05/23/15,40,46,TShirt X Pants,48.2,77.5,40,0
05/23/15,40,47,TShirt X Chino,48.2,77.5,40,0
05/23/15,40,48,TShirt X Sweatpants,48.2,77.5,47.5,0
05/23/15,40,49,TShirt X Shorts,48.2,90,65,0
05/23/15,41,45,Longsleeve X Jeans,48.2,70,30,1
05/23/15,41,46,Longsleeve X Pants,48.2,70,30,1
05/23/15,41,47,Longsleeve X Chino,48.2,70,30,1
05/23/15,41,48,Longsleeve X Sweatpants,48.2,70,37.5,1
05/23/15,41,49,Longsleeve X Shorts,48.2,82.5,55,0
05/23/15,42,45,Coat X Jeans,48.2,60,10,0
05/23/15,42,46,Coat X Pants,48.2,60,10,0
05/23/15,42,47,Coat X Chino,48.2,60,10,0
05/23/15,42,48,Coat X Sweatpants,48.2,60,17.5,1
05/23/15,42,49,Coat X Shorts,48.2,72.5,35,1
05/23/15,43,45,Hoodie X Jeans,48.2,70,30,1
05/23/15,43,46,Hoodie X Pants,48.2,70,30,1
05/23/15,43,47,Hoodie X Chino,48.2,70,30,1
05/23/15,43,48,Hoodie X Sweatpants,48.2,70,37.5,1
05/23/15,43,49,Hoodie X Shorts,48.2,82.5,55,0
05/23/15,44,45,Sweater X Jeans,48.2,65,27.5,1
05/23/15,44,46,Sweater X Pants,48.2,65,27.5,1
05/23/15,44,47,Sweater X Chino,48.2,65,27.5,1
05/23/15,44,48,Sweater X Sweatpants,48.2,65,35,1
05/23/15,44,49,Sweater X Shorts,48.2,77.5,52.5,0
05/24/15,40,45,TShirt X Jeans,56.120000000000005,77.5,40,1
05/24/15,40,46,TShirt X Pants,56.120000000000005,77.5,40,1
05/24/15,40,47,TShirt X Chino,56.120000000000005,77.5,40,1
05/24/15,40,48,TShirt X Sweatpants,56.120000000000005,77.5,47.5,1
05/24/15,40,49,TShirt X Shorts,56.120000000000005,90,65,0
05/24/15,41,45,Longsleeve X Jeans,56.120000000000005,70,30,1
05/24/15,41,46,Longsleeve X Pants,56.120000000000005,70,30,1
05/24/15,41,47,Longsleeve X Chino,56.120000000000005,70,30,1
05/24/15,41,48,Longsleeve X Sweatpants,56.120000000000005,70,37.5,1
05/24/15,41,49,Longsleeve X Shorts,56.120000000000005,82.5,55,0
05/24/15,42,45,Coat X Jeans,56.120000000000005,60,10,0
05/24/15,42,46,Coat X Pants,56.120000000000005,60,10,0
05/24/15,42,47,Coat X Chino,56.120000000000005,60,10,0
05/24/15,42,48,Coat X Sweatpants,56.120000000000005,60,17.5,0
05/24/15,42,49,Coat X Shorts,56.120000000000005,72.5,35,1
05/24/15,43,45,Hoodie X Jeans,56.120000000000005,70,30,1
05/24/15,43,46,Hoodie X Pants,56.120000000000005,70,30,1
05/24/15,43,47,Hoodie X Chino,56.120000000000005,70,30,1
05/24/15,43,48,Hoodie X Sweatpants,56.120000000000005,70,37.5,1
05/24/15,43,49,Hoodie X Shorts,56.120000000000005,82.5,55,0
05/24/15,44,45,Sweater X Jeans,56.120000000000005,65,27.5,1
05/24/15,44,46,Sweater X Pants,56.120000000000005,65,27.5,1
05/24/15,44,47,Sweater X Chino,56.120000000000005,65,27.5,1
05/24/15,44,48,Sweater X Sweatpants,56.120000000000005,65,35,1
05/24/15,44,49,Sweater X Shorts,56.120000000000005,77.5,52.5,1
05/25/15,40,45,TShirt X Jeans,66.2,77.5,40,1
05/25/15,40,46,TShirt X Pants,66.2,77.5,40,1
05/25/15,40,47,TShirt X Chino,66.2,77.5,40,1
05/25/15,40,48,TShirt X Sweatpants,66.2,77.5,47.5,1
05/25/15,40,49,TShirt X Shorts,66.2,90,65,0
05/25/15,41,45,Longsleeve X Jeans,66.2,70,30,0
05/25/15,41,46,Longsleeve X Pants,66.2,70,30,0
05/25/15,41,47,Longsleeve X Chino,66.2,70,30,0
05/25/15,41,48,Longsleeve X Sweatpants,66.2,70,37.5,0
05/25/15,41,49,Longsleeve X Shorts,66.2,82.5,55,1
05/25/15,42,45,Coat X Jeans,66.2,60,10,0
05/25/15,42,46,Coat X Pants,66.2,60,10,0
05/25/15,42,47,Coat X Chino,66.2,60,10,0
05/25/15,42,48,Coat X Sweatpants,66.2,60,17.5,0
05/25/15,42,49,Coat X Shorts,66.2,72.5,35,0
05/25/15,43,45,Hoodie X Jeans,66.2,70,30,0
05/25/15,43,46,Hoodie X Pants,66.2,70,30,0
05/25/15,43,47,Hoodie X Chino,66.2,70,30,0
05/25/15,43,48,Hoodie X Sweatpants,66.2,70,37.5,0
05/25/15,43,49,Hoodie X Shorts,66.2,82.5,55,1
05/25/15,44,45,Sweater X Jeans,66.2,65,27.5,0
05/25/15,44,46,Sweater X Pants,66.2,65,27.5,0
05/25/15,44,47,Sweater X Chino,66.2,65,27.5,0
05/25/15,44,48,Sweater X Sweatpants,66.2,65,35,0
05/25/15,44,49,Sweater X Shorts,66.2,77.5,52.5,1
05/26/15,40,45,TShirt X Jeans,66.56,77.5,40,1
05/26/15,40,46,TShirt X Pants,66.56,77.5,40,1
05/26/15,40,47,TShirt X Chino,66.56,77.5,40,1
05/26/15,40,48,TShirt X Sweatpants,66.56,77.5,47.5,1
05/26/15,40,49,TShirt X Shorts,66.56,90,65,0
05/26/15,41,45,Longsleeve X Jeans,66.56,70,30,0
05/26/15,41,46,Longsleeve X Pants,66.56,70,30,0
05/26/15,41,47,Longsleeve X Chino,66.56,70,30,0
05/26/15,41,48,Longsleeve X Sweatpants,66.56,70,37.5,0
05/26/15,41,49,Longsleeve X Shorts,66.56,82.5,55,1
05/26/15,42,45,Coat X Jeans,66.56,60,10,0
05/26/15,42,46,Coat X Pants,66.56,60,10,0
05/26/15,42,47,Coat X Chino,66.56,60,10,0
05/26/15,42,48,Coat X Sweatpants,66.56,60,17.5,0
05/26/15,42,49,Coat X Shorts,66.56,72.5,35,0
05/26/15,43,45,Hoodie X Jeans,66.56,70,30,0
05/26/15,43,46,Hoodie X Pants,66.56,70,30,0
05/26/15,43,47,Hoodie X Chino,66.56,70,30,0
05/26/15,43,48,Hoodie X Sweatpants,66.56,70,37.5,0
05/26/15,43,49,Hoodie X Shorts,66.56,82.5,55,1
05/26/15,44,45,Sweater X Jeans,66.56,65,27.5,0
05/26/15,44,46,Sweater X Pants,66.56,65,27.5,0
05/26/15,44,47,Sweater X Chino,66.56,65,27.5,0
05/26/15,44,48,Sweater X Sweatpants,66.56,65,35,0
05/26/15,44,49,Sweater X Shorts,66.56,77.5,52.5,1
05/27/15,40,45,TShirt X Jeans,65.12,77.5,40,1
05/27/15,40,46,TShirt X Pants,65.12,77.5,40,1
05/27/15,40,47,TShirt X Chino,65.12,77.5,40,1
05/27/15,40,48,TShirt X Sweatpants,65.12,77.5,47.5,1
05/27/15,40,49,TShirt X Shorts,65.12,90,65,0
05/27/15,41,45,Longsleeve X Jeans,65.12,70,30,0
05/27/15,41,46,Longsleeve X Pants,65.12,70,30,0
05/27/15,41,47,Longsleeve X Chino,65.12,70,30,0
05/27/15,41,48,Longsleeve X Sweatpants,65.12,70,37.5,0
05/27/15,41,49,Longsleeve X Shorts,65.12,82.5,55,1
05/27/15,42,45,Coat X Jeans,65.12,60,10,0
05/27/15,42,46,Coat X Pants,65.12,60,10,0
05/27/15,42,47,Coat X Chino,65.12,60,10,0
05/27/15,42,48,Coat X Sweatpants,65.12,60,17.5,0
05/27/15,42,49,Coat X Shorts,65.12,72.5,35,0
05/27/15,43,45,Hoodie X Jeans,65.12,70,30,0
05/27/15,43,46,Hoodie X Pants,65.12,70,30,0
05/27/15,43,47,Hoodie X Chino,65.12,70,30,0
05/27/15,43,48,Hoodie X Sweatpants,65.12,70,37.5,0
05/27/15,43,49,Hoodie X Shorts,65.12,82.5,55,1
05/27/15,44,45,Sweater X Jeans,65.12,65,27.5,0
05/27/15,44,46,Sweater X Pants,65.12,65,27.5,0
05/27/15,44,47,Sweater X Chino,65.12,65,27.5,0
05/27/15,44,48,Sweater X Sweatpants,65.12,65,35,0
05/27/15,44,49,Sweater X Shorts,65.12,77.5,52.5,1
05/28/15,40,45,TShirt X Jeans,60.8,77.5,40,1
05/28/15,40,46,TShirt X Pants,60.8,77.5,40,1
05/28/15,40,47,TShirt X Chino,60.8,77.5,40,1
05/28/15,40,48,TShirt X Sweatpants,60.8,77.5,47.5,1
05/28/15,40,49,TShirt X Shorts,60.8,90,65,0
05/28/15,41,45,Longsleeve X Jeans,60.8,70,30,0
05/28/15,41,46,Longsleeve X Pants,60.8,70,30,0
05/28/15,41,47,Longsleeve X Chino,60.8,70,30,0
05/28/15,41,48,Longsleeve X Sweatpants,60.8,70,37.5,1
05/28/15,41,49,Longsleeve X Shorts,60.8,82.5,55,1
05/28/15,42,45,Coat X Jeans,60.8,60,10,0
05/28/15,42,46,Coat X Pants,60.8,60,10,0
05/28/15,42,47,Coat X Chino,60.8,60,10,0
05/28/15,42,48,Coat X Sweatpants,60.8,60,17.5,0
05/28/15,42,49,Coat X Shorts,60.8,72.5,35,1
05/28/15,43,45,Hoodie X Jeans,60.8,70,30,0
05/28/15,43,46,Hoodie X Pants,60.8,70,30,0
05/28/15,43,47,Hoodie X Chino,60.8,70,30,0
05/28/15,43,48,Hoodie X Sweatpants,60.8,70,37.5,1
05/28/15,43,49,Hoodie X Shorts,60.8,82.5,55,1
05/28/15,44,45,Sweater X Jeans,60.8,65,27.5,0
05/28/15,44,46,Sweater X Pants,60.8,65,27.5,0
05/28/15,44,47,Sweater X Chino,60.8,65,27.5,0
05/28/15,44,48,Sweater X Sweatpants,60.8,65,35,0
05/28/15,44,49,Sweater X Shorts,60.8,77.5,52.5,1
05/29/15,40,45,TShirt X Jeans,60.8,77.5,40,1
05/29/15,40,46,TShirt X Pants,60.8,77.5,40,1
05/29/15,40,47,TShirt X Chino,60.8,77.5,40,1
05/29/15,40,48,TShirt X Sweatpants,60.8,77.5,47.5,1
